Watchlist 'DJIM'

DJIM
Symbol,%Change,Last,PE
WOOF,0.00%,64.84,22.83
VSAT,0.00%,72.97,132.7
WSO,0.00%,146.38,28.93
WST,0.00%,80.14,43.32
WWD,0.00%,67.27,23.6
YELP,0.00%,38.29,-81.47
ZBRA,0.00%,75.01,-21.25
WUBA,0.00%,31.30,3913
AAN,0.00%,29.01,15.19
ANF,0.00%,14.60,22.46
ACXM,0.00%,26.87,244.3
ABCO,0.00%,35.95,-30.99
MDRX,0.00%,10.85,-1085
ANN,0.00%,44.89,27.37
ASNA,0.00%,6.32,-105.3
BIG,0.00%,51.06,16.16
CRS,0.00%,36.00,-450
CHE,0.00%,147.43,23.55
CHS,0.00%,14.30,79.44
CMPR,0.00%,85.17,212.9
CSTM,0.00%,6.05,-1.536
CEB,0.00%,55.00,47.41
DECK,0.00%,61.37,17.94
DV,0.00%,27.60,106.2
DBD,0.00%,23.70,20.61
DRQ,0.00%,53.80,14.46
ENS,0.00%,78.11,24.88
FICO,0.00%,114.26,33.71
FNSR,0.00%,32.85,64.41
FET,0.00%,19.75,-7.625
FUL,0.00%,48.24,22.44
LOPE,0.00%,56.40,19.12
HAE,0.00%,38.95,-33.87
HYH,0.00%,36.41,38.73
HCSG,0.00%,38.16,42.4
HEI,0.00%,75.67,34.24
MLHR,0.00%,32.55,14.15
HRC,0.00%,55.45,60.27
HNI,0.00%,51.71,22
KN,0.00%,16.21,-5.708
LANC,0.00%,138.17,29.71
LTRPA,0.00%,16.65,-33.98
LFUS,0.00%,150.99,34.32
MNKD,0.00%,.6230,-1.198
MDSO,0.00%,54.36,123.5
MSA,0.00%,63.33,27.42
MLI,0.00%,37.50,22.19
NSR,0.00%,25.15,8.856
NORD,0.00%,23.77,216.1
DNOW,0.00%,19.90,-5.182
OIS,0.00%,32.65,-48.01
PTEN,0.00%,24.11,-11.82
SMTC,0.00%,27.75,66.07
SLAB,0.00%,67.05,59.87
SKX,0.00%,22.23,12.92
SHOO,0.00%,38.05,19.31
SWC,0.00%,14.93,213.3
VMI,0.00%,141.30,43.48
WB,0.00%,44.28,147.6
WOR,0.00%,58.44,21.17
ATU,0.00%,25.95,-14.58
AIT,0.00%,57.35,68.27
ATHM,0.00%,26.32,2.672
CRR,0.00%,7.12,-1.447
GTLS,0.00%,34.24,-5.252
DWA,0.00%,40.97,256.1
GCO,0.00%,65.05,14.17
GES,0.00%,15.61,19.76
HLX,0.00%,9.88,-2.422
HIMX,0.00%,7.75,26.01
HMSY,0.00%,18.20,44.39
HUBG,0.00%,42.95,18.84
ITRI,0.00%,64.85,86.47
LL,0.00%,16.90,-5.541
PIR,0.00%,5.79,25.17
